Delegacia,Ano,Mês,Total de Ocorrências
02º D.P. S. SEBASTIAO,2020,Maio,213
02º D.P. S. SEBASTIAO,2020,Junho,172
DEL.INV.M.AMB.GUARULHOS,2022,Junho,47
DEL.POL.UBATUBA,2023,Março,41
DEL.POL.UBATUBA,2022,Junho,40
DEL.INV.M.AMB.GUARULHOS,2021,Julho,39
DEL.INV.M.AMB.TABOAO SERRA,2022,Abril,37
DEL.INV.M.AMB.TABOAO SERRA,2020,Maio,31
DEL.POL.ILHA COMPRIDA,2019,Fevereiro,30
DEL.POL.UBATUBA,2023,Fevereiro,29
DEL.INV.M.AMB.CARAPICUIBA,2021,Março,28
02º D.P. S. SEBASTIAO,2023,Julho,27
DEL.INV.M.AMB.TABOAO SERRA,2020,Junho,26
DEL.POL.UBATUBA,2019,Abril,25
DEL.POL.UBATUBA,2023,Maio,24
DEL.POL.UBATUBA,2020,Março,23
DEL.POL.UBATUBA,2022,Fevereiro,23
DEL.INV.M.AMB.TABOAO SERRA,2021,Abril,20
DEL.POL.ILHABELA,2019,Fevereiro,20
DEL.INV.M.AMB.TABOAO SERRA,2022,Maio,19
DEL.INV.M.AMB.CARAPICUIBA,2021,Fevereiro,19
DEL.POL.UBATUBA,2023,Junho,19
DEL.POL.IGUAPE,2023,Março,19
DEL.POL.UBATUBA,2020,Junho,18
DEL.POL.UBATUBA,2020,Julho,18
DEL.INV.M.AMB.CARAPICUIBA,2019,Abril,18
DEL.POL.IGUAPE,2020,Junho,18
DEL.INV.M.AMB.TABOAO SERRA,2022,Julho,18
DEL.INV.M.AMB.TABOAO SERRA,2021,Março,17
DEL.INV.M.AMB.CARAPICUIBA,2023,Abril,16
DEL.INV.M.AMB.CARAPICUIBA,2021,Junho,15
DEL.INV.M.AMB.TABOAO SERRA,2022,Março,15
DEL.INV.M.AMB.CARAPICUIBA,2021,Janeiro,15
DEL.INV.M.AMB.CARAPICUIBA,2021,Abril,15
DIIMA - 02ª DEL.POL.,2020,Junho,15
DEL.INV.M.AMB.CARAPICUIBA,2022,Junho,14
DEL.INV.M.AMB.TABOAO SERRA,2020,Março,14
DEL.INV.M.AMB.TABOAO SERRA,2020,Julho,14
DEL.INV.M.AMB.TABOAO SERRA,2021,Fevereiro,13
DEL.POL.IGUAPE,2022,Janeiro,13
DEL.POL.ILHA COMPRIDA,2023,Julho,13
DEL.POL.UBATUBA,2019,Janeiro,13
DIIMA - 02ª DEL.POL.,2021,Maio,13
DEL.POL.ILHA COMPRIDA,2023,Abril,12
DEL.POL.UBATUBA,2022,Maio,12
DEL.INV.M.AMB.GUARULHOS,2020,Março,12
DEL.POL.ILHA COMPRIDA,2021,Julho,12
DEL.INV.M.AMB.TABOAO SERRA,2021,Maio,12
DEL.INV.M.AMB.TABOAO SERRA,2020,Janeiro,12
DEL.INV.M.AMB.CARAPICUIBA,2022,Abril,12
DEL.INV.M.AMB.GUARULHOS,2021,Abril,11
DEL.POL.ILHA COMPRIDA,2019,Julho,11
DEL.POL.IGUAPE,2020,Janeiro,11
DEL.POL.ILHABELA,2021,Abril,11
DIIMA - 01ª DEL.POL.,2019,Fevereiro,11
DEL.POL.ILHABELA,2019,Julho,11
DEL.POL.ILHA COMPRIDA,2022,Janeiro,11
DIIMA - 02ª DEL.POL.,2020,Maio,11
DEL.POL.UBATUBA,2021,Maio,11
DIIMA - 02ª DEL.POL.,2020,Julho,10
DEL.POL.IGUAPE,2019,Fevereiro,10
DEL.INV.M.AMB.GUARULHOS,2021,Fevereiro,10
DEL.POL.ILHABELA,2021,Julho,10
DIIMA - 01ª DEL.POL.,2021,Janeiro,10
DEL.POL.ILHABELA,2020,Julho,10
DEL.POL.ILHABELA,2022,Julho,10
DEL.INV.M.AMB.TABOAO SERRA,2020,Fevereiro,10
DEL.INV.M.AMB.CARAPICUIBA,2020,Janeiro,9
